,Unnamed: 0,日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
1486,1486,20220531,4170,Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1487,1487,20220531,4171,グローバルインフォメーション,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1488,1488,20220531,4172,東和ハイシステム,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1489,1489,20220531,4173,ＷＡＣＵＬ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1490,1490,20220531,4174,アピリッツ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1491,1491,20220531,4175,ｃｏｌｙ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1492,1492,20220531,4176,ココナラ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1493,1493,20220531,4177,ｉ‐ｐｌｕｇ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1494,1494,20220531,4178,Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔｉｏｎｓ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1495,1495,20220531,4179,ジーネクスト,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1496,1496,20220531,4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1504,1504,20220531,4192,スパイダープラス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1505,1505,20220531,4193,ファブリカコミュニケーションズ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1506,1506,20220531,4194,ビジョナル,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1507,1507,20220531,4196,ネオマーケティング,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1508,1508,20220531,4197,アスマーク,PRO Market,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1509,1509,20220531,4198,テンダ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1510,1510,20220531,4199,ワンダープラネット,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1511,1511,20220531,4200,ＨＣＳホールディングス,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1543,1543,20220531,4255,ＴＨＥＣＯＯ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1544,1544,20220531,4256,サインド,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1545,1545,20220531,4257,エヴィクサー,PRO Market,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1546,1546,20220531,4258,網屋,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1547,1547,20220531,4259,エクサウィザーズ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1548,1548,20220531,4260,ハイブリッドテクノロジーズ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1549,1549,20220531,4261,アジアクエスト,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1550,1550,20220531,4262,ニフティライフスタイル,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1551,1551,20220531,4263,サスメド,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1552,1552,20220531,4264,セキュア,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1553,1553,20220531,4265,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅｔｙ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1554,1554,20220531,4267,ライトワークス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1555,1555,20220531,4268,エッジテクノロジー,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1556,1556,20220531,4270,ＢｅｅＸ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1560,1560,20220531,4284,ソルクシーズ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1562,1562,20220531,4287,ジャストプランニング,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1563,1563,20220531,4288,アズジェント,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1566,1566,20220531,4295,フェイス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1567,1567,20220531,4298,プロトコーポレーション,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1568,1568,20220531,4299,ハイマックス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1570,1570,20220531,4304,Ｅストアー,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1571,1571,20220531,4307,野村総合研究所,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
1572,1572,20220531,4308,Ｊストリーム,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1574,1574,20220531,4312,サイバネットシステム,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1575,1575,20220531,4316,ビーマップ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1579,1579,20220531,4320,ＣＥホールディングス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1580,1580,20220531,4323,日本システム技術,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1582,1582,20220531,4326,インテージホールディングス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1585,1585,20220531,4333,東邦システムサイエンス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
