,日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
2657,20220531,6727,ワコム,プライム（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
2658,20220531,6728,アルバック,プライム（内国株式）,3650,電気機器,9,電機・精密 ,4,TOPIX Mid400
2659,20220531,6730,アクセル,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2660,20220531,6731,ピクセラ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2661,20220531,6734,ニューテック,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2662,20220531,6736,サン電子,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2663,20220531,6737,ＥＩＺＯ,プライム（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
2664,20220531,6740,ジャパンディスプレイ,プライム（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
2665,20220531,6741,日本信号,プライム（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
2666,20220531,6742,京三製作所,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2667,20220531,6743,大同信号,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2668,20220531,6744,能美防災,プライム（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
2669,20220531,6745,ホーチキ,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2670,20220531,6748,星和電機,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2671,20220531,6750,エレコム,プライム（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
2672,20220531,6752,パナソニック　ホールディングス,プライム（内国株式）,3650,電気機器,9,電機・精密 ,2,TOPIX Large70
2673,20220531,6753,シャープ,プライム（内国株式）,3650,電気機器,9,電機・精密 ,4,TOPIX Mid400
2674,20220531,6754,アンリツ,プライム（内国株式）,3650,電気機器,9,電機・精密 ,4,TOPIX Mid400
2675,20220531,6755,富士通ゼネラル,プライム（内国株式）,3650,電気機器,9,電機・精密 ,4,TOPIX Mid400
2676,20220531,6757,ＯＳＧコーポレーション,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2677,20220531,6758,ソニーグループ,プライム（内国株式）,3650,電気機器,9,電機・精密 ,1,TOPIX Core30
2678,20220531,6762,ＴＤＫ,プライム（内国株式）,3650,電気機器,9,電機・精密 ,4,TOPIX Mid400
2679,20220531,6763,帝国通信工業,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2680,20220531,6768,タムラ製作所,プライム（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
2681,20220531,6769,ザインエレクトロニクス,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2682,20220531,6770,アルプスアルパイン,プライム（内国株式）,3650,電気機器,9,電機・精密 ,4,TOPIX Mid400
2683,20220531,6771,池上通信機,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2684,20220531,6772,東京コスモス電機,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2685,20220531,6775,ＴＢグループ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2686,20220531,6776,天昇電気工業,スタンダード（内国株式）,3200,化学,4,素材・化学 ,-,-
2687,20220531,6777,ｓａｎｔｅｃ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2688,20220531,6778,アルチザネットワークス,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2689,20220531,6779,日本電波工業,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2690,20220531,6785,鈴木,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2691,20220531,6786,ＲＶＨ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 ,-,-
2692,20220531,6787,メイコー,プライム（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
2693,20220531,6788,日本トリム,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2694,20220531,6789,ローランド　ディー．ジー．,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2695,20220531,6794,フォスター電機,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2696,20220531,6798,ＳＭＫ,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2697,20220531,6800,ヨコオ,プライム（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
2698,20220531,6803,ティアック,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2699,20220531,6804,ホシデン,プライム（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
2700,20220531,6806,ヒロセ電機,プライム（内国株式）,3650,電気機器,9,電機・精密 ,4,TOPIX Mid400
2701,20220531,6807,日本航空電子工業,プライム（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
2702,20220531,6809,ＴＯＡ,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2703,20220531,6810,マクセル,プライム（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
2704,20220531,6814,古野電気,プライム（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
2705,20220531,6815,ユニデンホールディングス,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2706,20220531,6817,スミダコーポレーション,プライム（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
2707,20220531,6819,伊豆シャボテンリゾート,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 ,-,-
2708,20220531,6820,アイコム,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2709,20220531,6822,大井電気,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2710,20220531,6823,リオン,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2711,20220531,6824,新コスモス電機,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2712,20220531,6826,本多通信工業,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2713,20220531,6832,アオイ電子,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2714,20220531,6834,精工技研,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2715,20220531,6835,アライドテレシスホールディングス,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2716,20220531,6836,ぷらっとホーム,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2717,20220531,6837,京写,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2718,20220531,6838,多摩川ホールディングス,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2719,20220531,6840,ＡＫＩＢＡホールディングス,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2720,20220531,6841,横河電機,プライム（内国株式）,3650,電気機器,9,電機・精密 ,4,TOPIX Mid400
2721,20220531,6844,新電元工業,プライム（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
2722,20220531,6845,アズビル,プライム（内国株式）,3650,電気機器,9,電機・精密 ,4,TOPIX Mid400
2723,20220531,6848,東亜ディーケーケー,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2724,20220531,6849,日本光電工業,プライム（内国株式）,3650,電気機器,9,電機・精密 ,4,TOPIX Mid400
2725,20220531,6850,チノー,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2726,20220531,6853,共和電業,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2727,20220531,6855,日本電子材料,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2728,20220531,6856,堀場製作所,プライム（内国株式）,3650,電気機器,9,電機・精密 ,4,TOPIX Mid400
2729,20220531,6857,アドバンテスト,プライム（内国株式）,3650,電気機器,9,電機・精密 ,4,TOPIX Mid400
2730,20220531,6858,小野測器,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2731,20220531,6859,エスペック,プライム（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
2732,20220531,6861,キーエンス,プライム（内国株式）,3650,電気機器,9,電機・精密 ,1,TOPIX Core30
2733,20220531,6862,ミナトホールディングス,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
